日付,始値,前場引値,後場始値,終値,高値,安値,出来高
2026-03-13,20285,20580,20605,21155,21190,20125,23689200
2026-03-16,21600,21365,21450,22555,22630,21245,32541000
2026-03-17,23215,22465,22495,21605,23380,21400,33819000
2026-03-18,22685,22615,22910,23345,23410,22370,37954000
2026-03-19,22785,22345,22395,22290,22970,22080,31646300
2026-03-23,21360,21610,21560,21520,21835,20800,35413400
2026-03-24,21990,20420,20450,21150,22280,20025,47552300
2026-03-25,21565,21985,21850,22405,22440,21410,32173600
2026-03-26,21800,21060,21000,21010,21900,20945,32056200
2026-03-27,19300,20035,20100,20285,20580,19075,34630000
2026-03-30,19370,19490,19655,19965,20060,19070,29133600
2026-03-31,18805,19400,19350,19000,19675,18540,37179800
2026-04-01,20780,20970,21000,21785,21815,20410,32439100
2026-04-02,22310,20805,20715,21030,22400,20650,41858900
2026-04-03,21985,21580,21680,21975,22065,21500,26238400
2026-04-06,22120,22425,22265,22810,22835,21955,26343600
2026-04-07,23025,22805,22785,23290,23400,22575,35128600
2026-04-08,26270,26935,27000,27715,27815,25840,46551500
2026-04-09,26855,27755,27700,27665,28215,26600,44139900
2026-04-10,29000,29205,29570,30220,30490,28890,44083400
2026-04-13,29550,29980,30040,31340,31380,29530,32503300
2026-04-14,36170,35950,35900,34880,36870,33820,42837400
2026-04-15,34660,33060,33060,32410,35000,32100,38261000
2026-04-16,33290,32590,32890,33860,33950,31010,43650500
2026-04-17,32880,31930,31870,30630,33220,30460,40926300
2026-04-21,31310,32640,32620,32810,32880,31170,23206700
2026-04-22,32610,34420,34480,34860,35080,32610,30426300
2026-04-23,36500,34750,34230,35330,36680,33750,35265000
2026-04-24,34980,34600,34440,34580,35600,34150,23831600
2026-04-27,35410,35990,36000,35500,36440,35030,22230000
2026-04-28,36430,36940,36900,36370,37430,36200,22965200
2026-04-30,37500,37930,37720,37490,38270,36920,26811200
2026-05-01,36370,36280,36280,36270,36990,36220,16989000
2026-05-08,43090,43890,44210,44360,45550,42310,39391200
2026-05-11,49200,47850,48000,45740,49430,45690,36242900
2026-05-12,46970,46630,46640,46230,46980,43630,26767500
2026-05-13,45740,48620,48730,50590,50670,45120,28240300
2026-05-14,49940,52590,52310,48400,53490,45110,45355300
2026-05-15,47400,45650,45850,44410,47970,42100,35692400
2026-05-19,50750,49270,49500,49660,52590,48000,43813200
2026-05-20,50230,50600,50550,51430,51450,48270,29339400
2026-05-21,52690,57830,57900,55670,59420,51120,53530200
2026-05-22,57500,57210,57240,57380,58880,56280,23650500
2026-05-25,58380,63510,63500,65270,65790,58090,37648200
2026-05-26,63400,62170,62500,62390,64660,61110,27964400
2026-05-27,65890,63100,63120,60970,67340,60170,42566600
2026-05-28,59420,60770,60040,61110,61840,56900,39697300
2026-05-29,63150,63290,63450,63850,64770,61110,27616600
2026-06-01,70000,72800,72850,72670,73150,69270,33793800
2026-06-02,73370,70820,70590,77330,77500,70230,40288200
2026-06-03,81460,79750,79920,78090,83140,76240,40184200
2026-06-04,78970,76000,76440,76940,79830,75000,31790900
2026-06-05,74860,77670,77770,77920,78840,74040,34443500
2026-06-08,69140,71450,72050,71750,74500,69010,42544900
2026-06-09,71880,73300,73400,76440,76650,71880,34042000
2026-06-10,75230,75100,74900,70700,75490,70130,36887300
2026-06-11,67750,72610,73140,75460,77360,67600,48829500
2026-06-12,80500,81630,81440,81870,83140,78920,35669400
2026-06-15,85700,90030,89940,90910,90990,85200,31826400
